token,en,vi
synthetic_disclaimer,"Synthetic data — illustrative only. Requires human & legal review before any external use.","Dữ liệu mô phỏng — chỉ mang tính minh họa. Cần rà soát của con người & pháp lý trước khi sử dụng ra ngoài."
synthetic_illustrative,"All figures are illustrative, synthetic-portfolio outputs.","Mọi số liệu là kết quả mô phỏng, minh họa danh mục tổng hợp."
coverage_summary,"Coverage & Reconciliation Summary","Tóm tắt độ bao phủ & đối chiếu"
validation_report_title,"Intake Validation Report","Báo cáo xác thực dữ liệu đầu vào"
coverage_report_title,"Coverage & Reconciliation Report","Báo cáo độ bao phủ & đối chiếu"
disclosure_pack_title,"Climate Transition Disclosure Pack","Bộ công bố chuyển dịch khí hậu"
engagement_letter_title,"Engagement Letter","Thư làm việc"
financed_emissions_title,"Financed Emissions (Scope 1+2)","Phát thải được tài trợ (Phạm vi 1+2)"
sll_readiness_title,"SLL Readiness Shortlist","Danh sách rút gọn Sẵn sàng SLL"
target_registry_title,"Sector Target Registry","Đăng ký Mục tiêu Ngành"
borrower,"Borrower","Bên vay"
sector,"Sector","Ngành"
exposure_vnd,"Exposure (VND)","Dư nợ (VND)"
alignment_gap,"Alignment gap","Khoảng cách định hướng"
npv_change,"NPV change","Thay đổi NPV"
pd_change,"PD change","Thay đổi PD"
composite_score,"Composite score","Điểm tổng hợp"
trisk_stress_rank_pct,"TRISK stress rank (%)","Xếp hạng áp lực TRISK (%)"
data_quality_score,"Data-quality score","Điểm chất lượng dữ liệu"
financed_emissions_tco2e,"Financed emissions (tCO2e)","Phát thải được tài trợ (tCO2e)"
carbon_cost_vnd,"Carbon-cost exposure (VND)","Giá trị rủi ro carbon (VND)"
relationship,"Relationship","Quan hệ"
readiness,"Readiness","Mức sẵn sàng"
readiness_band,"Readiness band","Nhóm sẵn sàng"
analyst_rationale,"Analyst rationale","Lập luận của chuyên viên"
executive_summary,"Executive Summary","Tóm tắt điều hành"
methodology,"Methodology","Phương pháp luận"
governance,"Governance","Quản trị"
strategy,"Strategy","Chiến lược"
risk_management,"Risk Management","Quản lý rủi ro"
metrics_targets,"Metrics & Targets","Chỉ số & Mục tiêu"
tcfd_pillars,"TCFD-aligned Disclosures","Công bố theo TCFD"
not_set,"Not set","Chưa đặt"
proposed,"Proposed","Đề xuất"
adopted,"Adopted","Đã thông qua"
